Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword
gobelet plastique réutilisable personnalisé pas cher,3,3,40,66.93,1.03,http://www.atelierdugobelet.fr/fr/,3,0.01,3.00,1,234000,"[0,0,0,0,0,33,67,33,33,33,100,33]",1584162215,"Image pack, Site links, Reviews, AdWords top, AdWords bottom, Shopping ads, FAQ"
verre personnalisé ecole,4,4,50,58.84,0.00,http://www.atelierdugobelet.fr/fr/,3,0.01,0.00,1,5900000,"[0,7,0,14,7,7,14,36,100,7,7,36]",1582828000,"Image pack, Site links, Reviews, Video"
jetons bar,6,6,70,56.5,0.00,http://www.atelierdugobelet.fr/fr/416-jeton,3,0.01,0.00,1,4000000,"[33,67,67,33,33,33,33,33,33,100,67,33]",1583503313,"Image pack, Site links, Reviews, Video"
fabricant gobelet plastique jetable,11,12,70,67.42,0.68,http://www.atelierdugobelet.fr/fr/gobelet-reutilisable-ecologique,3,0.01,2.00,0.79,150000,"[20,20,20,60,60,20,20,20,40,20,100,20]",1584613524,"Site links, Reviews, Video"
gobelet mariage pas cher,8,8,110,64.64,0.56,http://www.atelierdugobelet.fr/fr/,3,0.01,1.00,1,564000,"[65,53,82,65,82,82,100,53,41,41,24,29]",1582888909,"Image pack, Site links, Reviews, AdWords top, AdWords bottom, Shopping ads"
arbre a empreinte a imprimer,12,12,260,65.47,0.00,http://www.atelierdugobelet.fr/fr/photo-sur-toile/1496-arbre-a-empreintes.html,3,0.01,0.00,0.98,86,"[36,24,15,36,54,100,81,54,66,36,29,24]",1583578833,"Image pack, Reviews, Video"
gobelets personnalisés anniversaire,3,3,40,59.72,0.88,http://www.atelierdugobelet.fr/fr/,3,0.01,3.00,0.98,324000,"[29,100,57,71,71,43,57,71,57,57,43,29]",1584513810,"Image pack, Site links, Reviews, AdWords top, AdWords bottom, Shopping ads"
gobelet anniversaire personnalisé,4,4,50,47.82,0.54,http://www.atelierdugobelet.fr/fr/,3,0.01,1.00,0.97,550000,"[0,0,0,0,0,0,0,0,0,0,100,50]",1582568640,"Image pack, Site links, Reviews, AdWords top, AdWords bottom, Shopping ads"
eco cup pas cher,7,6,390,66.38,0.44,http://www.atelierdugobelet.fr/fr/,3,0.01,1.00,1,3450000,"[16,19,19,44,55,55,55,55,44,44,36,100]",1584597585,"Image pack, Site links, Reviews, AdWords top, AdWords bottom"
acheter gobelet,3,3,40,64.04,0.00,http://www.atelierdugobelet.fr/fr/,3,0.01,0.00,0.52,0,"[100,44,11,56,22,56,22,11,11,11,33,11]",1583300852,"Local pack, Site links, Reviews, AdWords top, Shopping ads"
verre a pied en plastique dur réutilisable,8,8,110,70.08,0.59,http://www.atelierdugobelet.fr/fr/,3,0.01,1.00,1,81,"[41,24,41,53,100,100,100,82,53,53,53,65]",1584036139,"Local pack, Image pack, Site links, Reviews, Video, Shopping ads"
bon de réduction l atelier du gobelet,5,5,70,74.16,0.98,http://www.atelierdugobelet.fr/fr/content/10-revendeurs,3,0.01,3.00,0.17,2740000,"[14,100,14,14,71,29,14,14,14,29,57,14]",1582809280,"Image pack, Reviews"
goblet cup,5,5,50,67.45,0.24,http://www.atelierdugobelet.fr/fr/,2,0,0.00,1,13300000,"[100,14,14,14,14,29,14,14,14,14,14,14]",1582710891,"Image pack, Site links, Reviews, Video Carousel"
gobelet ecole,6,6,40,68.03,0.33,http://www.atelierdugobelet.fr/fr/,2,0,0.00,1,2210000,"[7,7,7,14,7,7,21,14,100,7,7,7]",1582801382,"Image pack, Site links, Reviews, Video Carousel"
gobelet prenom enfant,6,6,50,70.58,0.00,http://www.atelierdugobelet.fr/fr/,2,0,0.00,1,27800,"[5,5,5,5,14,5,5,67,100,10,5,5]",1583973339,"Image pack, Site links, Reviews, Video, AdWords bottom, Shopping ads"
gobelet jetable personnalisable,6,6,40,60.75,1.02,http://www.atelierdugobelet.fr/fr/gobelet-reutilisable-ecologique,2,0,2.00,1,25200,"[22,11,22,11,11,11,11,100,22,33,11,11]",1584044051,"Site links, Reviews, Shopping ads"
gobelet reutilisable prenom,4,4,40,62.24,0.44,http://www.atelierdugobelet.fr/fr/,2,0,1.00,1,92,"[36,27,9,9,9,9,18,100,9,45,9,64]",1584315311,"Image pack, Site links, Reviews"
gobelet personnalisé unité,4,4,40,57.49,0.45,http://www.atelierdugobelet.fr/fr/,2,0,1.00,0.9,257000,"[6,12,6,18,12,6,24,6,100,6,6,12]",1583058772,"Image pack, Site links, Reviews, Video, AdWords top, AdWords bottom, Shopping ads"
eco gobelet mariage,6,6,40,63.49,0.62,http://www.atelierdugobelet.fr/fr/,2,0,1.00,1,75,"[11,11,22,11,78,11,100,11,11,22,11,11]",1584235382,"Image pack, Site links, Reviews, Video"
ecocup personnalisé prix,5,5,50,54.03,0.52,http://www.atelierdugobelet.fr/fr/,2,0,1.00,1,86,"[7,100,21,7,7,7,50,7,7,36,7,64]",1582990323,"Image pack, Site links, Reviews, Featured snippet"
5bubbles,4,4,40,71,0.00,http://www.atelierdugobelet.fr/fr/,2,0,0.00,0,508000,"[100,11,33,11,11,11,11,11,11,11,78,22]",1582652804,"Image pack, Site links, Reviews, Video"
tasse plastique personnalisable,5,5,50,66.76,0.51,http://www.atelierdugobelet.fr/fr/,2,0,1.00,1,300000,"[0,0,0,0,14,14,14,29,14,100,14,14]",1582544925,"Image pack, Site links, Reviews"
verre maternelle personnalisé,8,8,70,72.31,0.00,http://www.atelierdugobelet.fr/fr/,2,0,0.00,0,89,"[100,0,0,0,29,29,14,14,14,14,0,0]",1583127392,"Image pack, Site links, Reviews, Video, AdWords bottom"
des gobelets en plastique,4,4,40,78.07,0.00,http://www.atelierdugobelet.fr/fr/,2,0,0.00,0.97,8130000,"[14,14,14,14,14,71,14,71,57,14,100,14]",1583282701,"Knowledge panel, Image pack, Site links, Reviews, Video Carousel"
support gobelet,8,8,90,71.3,0.00,http://www.atelierdugobelet.fr/fr/398-porte-gobelet,2,0,0.00,1,3660000,"[41,29,53,53,41,82,100,82,100,65,41,29]",1582289870,"Image pack, Reviews, Video"
verre plastique réutilisable prix,6,6,40,58.2,0.88,http://www.atelierdugobelet.fr/fr/gobelet-reutilisable-ecologique,2,0,1.00,1,676000,"[0,11,11,11,100,11,11,11,22,56,11,33]",1582410292,"Site links, Reviews, AdWords top"
verre plastique réutilisable prix,5,5,40,58.2,0.88,http://www.atelierdugobelet.fr/fr/,2,0,1.00,1,676000,"[0,11,11,11,100,11,11,11,22,56,11,33]",1582410292,"Site links, Reviews, AdWords top"
