Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword
verre prenom,58,58,170,73.95,0.28,https://wobz.fr/gobelet-personnalise-mariage-cadre.html,0,0,0.00,1,561000,"[15,19,15,19,15,19,67,100,44,23,23,35]",1584010533,"Image pack, Site links, Reviews"
gobelet,59,50,6600,78.65,0.62,https://wobz.fr/,0,0,0.00,1,6350000,"[67,81,81,81,81,81,81,81,81,100,100,100]",1584630097,"Knowledge panel, Site links, Reviews"
verre plastique serigraphié personnalisé,25,25,90,59.83,0.58,https://wobz.fr/gobelet-personnalise-25cl-impression-serigraphie-2-couleurs.html,0,0,0.00,1,73,"[0,0,0,0,100,14,14,14,14,14,43,43]",1582331969,"Image pack, Site links, Reviews, Video, AdWords top, Shopping ads"
50 cl to l,75,75,40,78.22,0.00,https://wobz.fr/gobelet-personnalise-50cl-qualite-photo-impression-7cm.html,0,0,0.00,0,1730000000,"[14,57,14,14,100,14,14,14,71,71,29,14]",1583171566,"Instant answer, Reviews, People also ask"
vin blanc mojito,75,75,70,74.28,0.00,https://wobz.fr/verre-mojito-personnalise-blanc.html,0,0,0.00,0.96,469000,"[6,41,6,6,29,100,65,18,18,24,6,18]",1584259345,"Image pack, Reviews, Image, Shopping ads, Video Carousel"
verres plastiques personnalisés,57,57,210,65.06,0.88,https://wobz.fr/gobelet-personnalise-noces-d-or-50-ans.html,0,0,0.00,1,87800,"[28,54,28,28,67,100,82,44,54,67,54,36]",1583940834,"Image pack, Site links, Reviews, AdWords top"
gobelet personnalisé prénom,16,16,170,70.42,0.46,https://wobz.fr/gobelet-personnalise-mariage-cadre.html,0,0,0.00,1,899000,"[15,15,23,35,44,67,100,67,44,15,15,23]",1584444173,"Image pack, Site links, Reviews, Video"
noce argent,98,98,210,82.06,0.00,https://wobz.fr/gobelet-personnalise-pour-noce-d-argent-25-ans.html,0,0,0.00,0,1280000,"[81,66,81,81,81,100,100,81,66,44,44,53]",1584493520,"Knowledge panel, Site links, Reviews, Video Carousel"
coffret vin personnalisé pas cher,38,38,50,73.34,1.94,https://wobz.fr/coffrets.html,0,0,0.00,1,1120000,"[11,11,22,56,11,11,100,22,33,11,11,56]",1583723212,"Image pack, Reviews"
photo sur verre pur,18,18,50,72.55,0.57,https://wobz.fr/verre-a-eau-personnalise-pure-en-plastique-qualite-photo.html,0,0,0.00,1,19400000,"[0,0,0,0,0,0,0,0,0,0,0,100]",1583074707,"Image pack, Site links, Reviews, Video, Image"
